2026/07/19 09:24:17 Measurement 'Measurement20260719T092358' (1784445838835017903) started at 2026-07-19T09:23:58+02:00.
2026/07/19 09:27:59 Logging started
2026/07/19 09:27:59 SetupEnvironment finished.
2026/07/19 09:28:04 Autocreating new measurement!
2026/07/23 23:49:29 Measurement 'Measurement20260723T234929' (1784843369779335772) started at 2026-07-23T23:49:29+02:00.
2026/07/23 23:49:34 Exported 71 from tblAeroTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblAeroTrak.txt ok.
2026/07/23 23:49:34 Exported 71 from tblDustTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblDustTrak.txt ok.
2026/07/23 23:49:34 Exported 71 from tblPTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblPTrak.txt ok.
2026/07/23 23:49:34 Exported 1 from tblMain to textfile /home/prifre/dev/go/src/vas2/vasdata/tblMain.txt ok.
2026/07/23 23:50:30 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 23:50:30 SetupEnvironment finished.
2026/07/23 23:54:11 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 23:54:11 SetupEnvironment finished.
2026/07/23 23:54:15 Exported 6043 from tblAeroTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblAeroTrak.txt ok.
2026/07/23 23:54:15 Exported 6043 from tblDustTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblDustTrak.txt ok.
2026/07/23 23:54:15 Exported 6043 from tblPTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblPTrak.txt ok.
2026/07/23 23:54:15 Exported 14 from tblMain to textfile /home/prifre/dev/go/src/vas2/vasdata/tblMain.txt ok.
2026/07/23 23:54:20 Quit
2026/07/23 23:57:01 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 23:57:01 SetupEnvironment finished.
2026/07/23 23:57:07 Exported 6043 from tblAeroTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblAeroTrak.txt ok.
2026/07/23 23:57:07 Exported 6043 from tblDustTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblDustTrak.txt ok.
2026/07/23 23:57:07 Exported 6043 from tblPTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblPTrak.txt ok.
2026/07/23 23:57:07 Exported 14 from tblMain to textfile /home/prifre/dev/go/src/vas2/vasdata/tblMain.txt ok.
2026/07/23 23:57:24 Exported 6043 from tblAeroTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblAeroTrak.txt ok.
2026/07/23 23:57:24 Exported 6043 from tblDustTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblDustTrak.txt ok.
2026/07/23 23:57:24 Exported 6043 from tblPTrak to textfile /home/prifre/dev/go/src/vas2/vasdata/tblPTrak.txt ok.
2026/07/23 23:57:24 Exported 14 from tblMain to textfile /home/prifre/dev/go/src/vas2/vasdata/tblMain.txt ok.
2026/07/24 00:03:15 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:03:15 SetupEnvironment finished.
2026/07/24 00:03:19 Restart not possible due to:  no nanostamp
2026/07/24 00:03:19 Autocreating new measurement!
2026/07/24 00:03:19 Measurement 'Measurement20260724T000319' (1784844199345246167) started at 2026-07-24T00:03:19+02:00.
2026/07/24 00:03:23 Quit application
2026/07/24 00:11:26 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:11:26 SetupEnvironment finished.
2026/07/24 00:11:30 Quit application
2026/07/24 00:15:48 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:15:48 SetupEnvironment finished.
2026/07/24 00:15:51 Restart not possible due to:  no nanostamp
2026/07/24 00:15:51 Autocreating new measurement!
2026/07/24 00:15:51 Measurement 'Measurement20260724T001551' (1784844951683738088) started at 2026-07-24T00:15:51+02:00.
2026/07/24 00:15:58 Measurement 'Measurement20260724T001551' (1784844951683738088) started at 2026-07-24T00:15:51+02:00.
2026/07/24 00:16:20 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:16:20 SetupEnvironment finished.
2026/07/24 00:16:22 Restart not possible due to:  no nanostamp
2026/07/24 00:16:22 Autocreating new measurement!
2026/07/24 00:16:22 Measurement 'Measurement20260724T001622' (1784844982874572330) started at 2026-07-24T00:16:22+02:00.
2026/07/24 00:16:26 Measurement 'Measurement20260724T001622' (1784844982874572330) started at 2026-07-24T00:16:22+02:00.
2026/07/24 00:16:32 Measurement 'Measurement20260724T001622' (1784844982874572330) started at 2026-07-24T00:16:22+02:00.
2026/07/24 00:16:34 Measurement 'Measurement20260724T001622' (1784844982874572330) started at 2026-07-24T00:16:22+02:00.
2026/07/24 00:24:28 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:24:28 SetupEnvironment finished.
2026/07/24 00:24:31 Restart not possible due to:  no nanostamp
2026/07/24 00:24:31 Autocreating new measurement!
2026/07/24 00:24:31 Measurement 'Measurement20260724T002431' (1784845471469678157) started at 2026-07-24T00:24:31+02:00.
2026/07/24 00:24:53 Quit application
2026/07/24 00:27:55 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:27:55 SetupEnvironment finished.
2026/07/24 00:27:58 Restart not possible due to:  no nanostamp
2026/07/24 00:27:58 Autocreating new measurement!
2026/07/24 00:27:58 Measurement 'Measurement20260724T002758' (1784845678461363899) started at 2026-07-24T00:27:58+02:00.
2026/07/24 00:28:47 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:28:47 SetupEnvironment finished.
2026/07/24 00:28:50 Restart not possible due to:  no nanostamp
2026/07/24 00:28:50 Autocreating new measurement!
2026/07/24 00:28:50 Measurement 'Measurement20260724T002850' (1784845730154840432) started at 2026-07-24T00:28:50+02:00.
2026/07/24 00:29:37 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:29:37 SetupEnvironment finished.
2026/07/24 00:29:39 Restart not possible due to:  no nanostamp
2026/07/24 00:29:39 Autocreating new measurement!
2026/07/24 00:29:40 Measurement 'Measurement20260724T002940' (1784845779979300036) started at 2026-07-24T00:29:40+02:00.
2026/07/24 00:29:54 Quit application
2026/07/24 00:30:18 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:30:18 SetupEnvironment finished.
2026/07/24 00:30:21 Restart not possible due to:  no nanostamp
2026/07/24 00:30:21 Autocreating new measurement!
2026/07/24 00:30:21 Measurement 'Measurement20260724T003021' (1784845821680152835) started at 2026-07-24T00:30:21+02:00.
2026/07/24 00:30:25 Measurement 'Measurement20260724T003021' (1784845821680152835) started at 2026-07-24T00:30:21+02:00.
2026/07/24 00:34:49 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:34:49 SetupEnvironment finished.
2026/07/24 00:34:52 Restart not possible due to:  no nanostamp
2026/07/24 00:34:52 Autocreating new measurement!
2026/07/24 00:34:52 Measurement 'Measurement20260724T003452' (1784846092392401597) started at 2026-07-24T00:34:52+02:00.
2026/07/24 00:40:15 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:40:15 SetupEnvironment finished.
2026/07/24 00:40:17 Restart not possible due to:  no nanostamp
2026/07/24 00:40:17 Autocreating new measurement!
2026/07/24 00:40:17 Measurement 'Measurement20260724T004017' (1784846417967266724) started at 2026-07-24T00:40:17+02:00.
2026/07/24 00:41:17 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:41:17 SetupEnvironment finished.
2026/07/24 00:41:21 Restart not possible due to:  no nanostamp
2026/07/24 00:41:21 Autocreating new measurement!
2026/07/24 00:41:21 Measurement 'Measurement20260724T004121' (1784846481984887575) started at 2026-07-24T00:41:21+02:00.
2026/07/24 00:43:12 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:43:12 SetupEnvironment finished.
2026/07/24 00:43:15 Restart not possible due to:  no nanostamp
2026/07/24 00:43:15 Autocreating new measurement!
2026/07/24 00:43:15 Measurement 'Measurement20260724T004315' (1784846595973389658) started at 2026-07-24T00:43:15+02:00.
2026/07/24 00:45:30 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:45:30 SetupEnvironment finished.
2026/07/24 00:45:32 Restart not possible due to:  no nanostamp
2026/07/24 00:45:32 Autocreating new measurement!
2026/07/24 00:45:32 Measurement 'Measurement20260724T004532' (1784846732701517516) started at 2026-07-24T00:45:32+02:00.
2026/07/24 00:48:51 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:48:51 SetupEnvironment finished.
2026/07/24 00:48:54 Restart not possible due to:  no nanostamp
2026/07/24 00:48:54 Autocreating new measurement!
2026/07/24 00:48:54 Measurement 'Measurement20260724T004854' (1784846934196527231) started at 2026-07-24T00:48:54+02:00.
2026/07/24 00:50:40 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:50:40 SetupEnvironment finished.
2026/07/24 00:50:43 Restart not possible due to:  no nanostamp
2026/07/24 00:50:43 Autocreating new measurement!
2026/07/24 00:50:43 Measurement 'Measurement20260724T005043' (1784847043656247619) started at 2026-07-24T00:50:43+02:00.
2026/07/24 00:50:47 Measurement 'Measurement20260724T005043' (1784847043656247619) started at 2026-07-24T00:50:43+02:00.
2026/07/24 00:50:52 Measurement 'Measurement20260724T005043' (1784847043656247619) started at 2026-07-24T00:50:43+02:00.
2026/07/24 00:50:54 Measurement 'Measurement20260724T005043' (1784847043656247619) started at 2026-07-24T00:50:43+02:00.
2026/07/24 00:50:55 Measurement 'Measurement20260724T005043' (1784847043656247619) started at 2026-07-24T00:50:43+02:00.
2026/07/24 00:52:57 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:52:57 SetupEnvironment finished.
2026/07/24 00:52:59 Restart not possible due to:  no nanostamp
2026/07/24 00:52:59 Autocreating new measurement!
2026/07/24 00:52:59 Measurement 'Measurement20260724T005259' (1784847179553618690) started at 2026-07-24T00:52:59+02:00.
2026/07/24 00:53:00 Measurement 'Measurement20260724T005259' (1784847179553618690) started at 2026-07-24T00:52:59+02:00.
2026/07/24 00:53:51 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 00:53:51 SetupEnvironment finished.
2026/07/24 00:53:53 Restart not possible due to:  no nanostamp
2026/07/24 00:53:53 Autocreating new measurement!
2026/07/24 00:53:53 Measurement 'Measurement20260724T005353' (1784847233264402204) started at 2026-07-24T00:53:53+02:00.
2026/07/24 01:00:19 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 01:00:19 SetupEnvironment finished.
2026/07/24 01:00:27 #4 Getsql too many columns in query! Do your own query!
2026/07/24 01:00:27 Restart not possible due to:  #1 Getting measurement info error: too many columns!
2026/07/24 01:00:27 Autocreating new measurement!
2026/07/24 01:00:29 Measurement 'Measurement20260724T010027' (1784847627075667895) started at 2026-07-24T01:00:27+02:00.
2026/07/24 01:00:32 #4 Getsql too many columns in query! Do your own query!
2026/07/24 01:00:32 Restart not possible due to:  #1 Getting measurement info error: too many columns!
2026/07/24 01:00:32 Autocreating new measurement!
2026/07/24 01:00:32 Measurement 'Measurement20260724T010032' (1784847632097485622) started at 2026-07-24T01:00:32+02:00.
2026/07/24 01:01:17 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 01:01:17 SetupEnvironment finished.
2026/07/24 01:01:20 #4 Getsql too many columns in query! Do your own query!
2026/07/24 01:01:23 Restart not possible due to:  #1 Getting measurement info error: too many columns!
2026/07/24 01:01:23 Autocreating new measurement!
2026/07/24 01:01:23 Measurement 'Measurement20260724T010123' (1784847683045695724) started at 2026-07-24T01:01:23+02:00.
2026/07/24 01:01:25 #4 Getsql too many columns in query! Do your own query!
2026/07/24 01:01:49 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/24 01:01:49 SetupEnvironment finished.
2026/07/24 01:01:54 #4 Getsql too many columns in query! Do your own query!
2026/07/24 01:01:57 Restart not possible due to:  #1 Getting measurement info error: too many columns!
2026/07/24 01:01:57 Autocreating new measurement!
2026/07/24 01:01:57 Measurement 'Measurement20260724T010157' (1784847717655526707) started at 2026-07-24T01:01:57+02:00.
2026/07/24 01:02:15 #4 Getsql too many columns in query! Do your own query!
2026/07/24 01:02:15 Restart not possible due to:  #1 Getting measurement info error: too many columns!
2026/07/24 01:02:15 Autocreating new measurement!
